Sign in, 2021-05-28 03:05:12.569
See upcoming appointments, 2021-05-28 03:05:56.115
Sign up, 2021-05-28 03:17:48.027
Sign up, 2021-05-28 03:19:09.446
See upcoming appointments, 2021-05-28 03:20:07.35
See appointments history, 2021-05-28 03:20:08.254
Request appointment, 2021-05-28 03:20:22.131
Sign out, 2021-05-28 03:20:38.146
Sign in, 2021-05-28 03:21:10.126
Process appointment, 2021-05-28 03:21:14.366
Sign in, 2021-05-28 03:23:51.302
Process appointment, 2021-05-28 03:24:12.116
Sign out, 2021-05-28 03:24:19.916
Sign in, 2021-05-28 03:28:08.039
Process appointment, 2021-05-28 03:28:09.887
Sign in, 2021-05-28 03:30:10.544
Sign in, 2021-05-28 03:41:32.368
Process appointment, 2021-05-28 03:41:33.087
Sign in, 2021-05-28 03:43:45.965
Process appointment, 2021-05-28 03:43:48.458
Sign in, 2021-05-28 03:44:37.275
Process appointment, 2021-05-28 03:44:40.138
Sign in, 2021-05-28 03:49:09.683
Process appointment, 2021-05-28 03:49:11.253
Sign in, 2021-05-28 03:51:53.746
Process appointment, 2021-05-28 03:51:54.931
Sign in, 2021-05-28 03:52:24.274
Sign in, 2021-05-28 03:55:46.524
Process appointment, 2021-05-28 03:55:48.291
Sign in, 2021-05-28 03:56:30.34
Process appointment, 2021-05-28 03:56:31.019
Sign in, 2021-05-28 04:06:27.237
Process appointment, 2021-05-28 04:06:28.419
Sign in, 2021-05-28 04:06:51.713
Process appointment, 2021-05-28 04:06:52.803
Sign in, 2021-05-28 04:07:43.043
Process appointment, 2021-05-28 04:07:44.386
Sign in, 2021-05-28 04:15:53.519
Process appointment, 2021-05-28 04:16:13.023
Sign in, 2021-05-28 04:22:41.824
Process appointment, 2021-05-28 04:22:42.83
Sign out, 2021-05-28 04:22:56.987
Sign in, 2021-05-28 04:23:09.078
List commands, 2021-05-28 04:26:25.633
Sign out, 2021-05-28 04:26:25.953
Sign in, 2021-05-28 04:26:36.672
Sign in, 2021-05-28 04:26:54.7
See upcoming appointments, 2021-05-28 04:27:10.213
See appointments history, 2021-05-28 04:27:10.986
Sign in, 2021-05-28 04:43:11.714
See appointments history, 2021-05-28 04:43:13.226
Sign in, 2021-05-28 04:44:10.878
See appointments history, 2021-05-28 04:44:13.594
Sign in, 2021-05-28 04:45:41.202
